Метрика,Результат,По каким данным,Параметры
te_full,"mean best BA 0.817, AUC 0.850; best task BA 0.872, AUC 0.895",HCP360 GM active-mean; 38 subj: HC=14/SZ=24; 360 ROI; 600 точек,"w300_start150, lag=3"
dcor_directed,"mean best BA 0.781, AUC 0.843; best task BA 0.817, AUC 0.871",HCP360 whole-brain; 38 subj: HC=14/SZ=24; 360 ROI; 600 точек,"w300_start150, lag=2"
correlation_directed,"mean best BA 0.768, AUC 0.827; best task BA 0.796, AUC 0.830",HCP360 GM active-mean; 38 subj: HC=14/SZ=24; 360 ROI; 600 точек,"w300_start150, lag=3"
correlation_kendall,"mean best BA 0.761, AUC 0.815; best task BA 0.832, AUC 0.850",HCP360 whole-brain; 38 subj: HC=14/SZ=24; 360 ROI; 600 точек,"w300_start0, lag=1"
te_partial,"mean best BA 0.759, AUC 0.813; best task BA 0.850, AUC 0.910",HCP360 whole-brain; 38 subj: HC=14/SZ=24; 360 ROI; 600 точек,"w300_start150, lag=3"
correlation_spearman,"mean best BA 0.742, AUC 0.794; best task BA 0.823, AUC 0.867",HCP360 GM active-mean; 38 subj: HC=14/SZ=24; 360 ROI; 600 точек,"w300_start150, lag=3"
correlation_full,"mean best BA 0.738, AUC 0.797; best task BA 0.803, AUC 0.873",HCP360 GM active-mean; 38 subj: HC=14/SZ=24; 360 ROI; 600 точек,"w300_start0, lag=2"
dcor_full,"mean best BA 0.733, AUC 0.787; best task BA 0.815, AUC 0.815",HCP360 whole-brain; 38 subj: HC=14/SZ=24; 360 ROI; 600 точек,"w300_start150, lag=1"
ah_partial,"mean best BA 0.728, AUC 0.772; best task BA 0.838, AUC 0.907",HCP360 GM active-mean; 38 subj: HC=14/SZ=24; 360 ROI; 600 точек,"w300_start150, lag=3"
h2_directed,"mean best BA 0.728, AUC 0.817; best task BA 0.789, AUC 0.807",tissue mean GM/WM/CSF; 39 subj: HC=15/SZ=24; 3 tissue rows; 600 точек,"w300_start150, lag=1"
granger_full,"mean best BA 0.719, AUC 0.783; best task BA 0.767, AUC 0.756",tissue mean GM/WM/CSF; 39 subj: HC=15/SZ=24; 3 tissue rows; 600 точек,"w300_start150, lag=3"
ah_directed,"mean best BA 0.705, AUC 0.746; best task BA 0.771, AUC 0.768",AAL3 whole ROI; 39 subj: HC=15/SZ=24; 167 ROI; 600 точек,"w300_start150, lag=3"
h2_full,"mean best BA 0.705, AUC 0.784; best task BA 0.754, AUC 0.845",AAL3 whole ROI; 39 subj: HC=15/SZ=24; 167 ROI; 600 точек,"w300_start0, lag=2"
ah_full,"mean best BA 0.692, AUC 0.764; best task BA 0.773, AUC 0.919",AAL3 whole ROI; 39 subj: HC=15/SZ=24; 167 ROI; 600 точек,"w300_start150, lag=1"
wavelet_partial,"mean best BA 0.691, AUC 0.733; best task BA 0.815, AUC 0.841",HCP360 GM active-mean; 38 subj: HC=14/SZ=24; 360 ROI; 600 точек,"w300_start150, lag=1"
mutinf_full,"mean best BA 0.680, AUC 0.731; best task BA 0.743, AUC 0.805",HCP360 GM active-mean; 38 subj: HC=14/SZ=24; 360 ROI; 600 точек,"w300_start150, lag=2"
dcor_partial,"mean best BA 0.679, AUC 0.707; best task BA 0.833, AUC 0.877",AAL3 whole ROI; 39 subj: HC=15/SZ=24; 167 ROI; 600 точек,"w300_start150, lag=1"
h2_partial,"mean best BA 0.679, AUC 0.722; best task BA 0.765, AUC 0.789",HCP360 whole-brain; 38 subj: HC=14/SZ=24; 360 ROI; 600 точек,"w300_start150, lag=3"
correlation_partial,"mean best BA 0.673, AUC 0.755; best task BA 0.787, AUC 0.901",AAL3 whole ROI; 39 subj: HC=15/SZ=24; 167 ROI; 600 точек,"w300_start150, lag=3"
wavelet_full,"mean best BA 0.663, AUC 0.695; best task BA 0.743, AUC 0.800",AAL3 whole ROI; 39 subj: HC=15/SZ=24; 167 ROI; 600 точек,"w300_start150, lag=1"
coherence_full,"mean best BA 0.663, AUC 0.708; best task BA 0.790, AUC 0.835",HCP360 whole-brain; 38 subj: HC=14/SZ=24; 360 ROI; 600 точек,"w300_start150, lag=1"
ordinal_directed,"mean best BA 0.645, AUC 0.700; best task BA 0.718, AUC 0.739",tissue mean GM/WM/CSF; 39 subj: HC=15/SZ=24; 3 tissue rows; 600 точек,"w300_start150, lag=3"
granger_partial,"mean best BA 0.643, AUC 0.647; best task BA 0.780, AUC 0.811",AAL3 whole ROI; 39 subj: HC=15/SZ=24; 167 ROI; 600 точек,"w300_start150, lag=3"
ordinal_full,"mean best BA 0.642, AUC 0.696; best task BA 0.713, AUC 0.781",HCP360 GM active-mean; 38 subj: HC=14/SZ=24; 360 ROI; 600 точек,"w300_start150, lag=2"
mutinf_partial,"mean best BA 0.593, AUC 0.645; best task BA 0.676, AUC 0.717",HCP360 GM active-mean; 38 subj: HC=14/SZ=24; 360 ROI; 600 точек,"w300_start0, lag=1"
coherence_partial,"mean best BA 0.531, AUC 0.567; best task BA 0.570, AUC 0.573",HCP360 GM active-mean; 38 subj: HC=14/SZ=24; 360 ROI; 600 точек,"w300_start0, lag=2"
