metric,AAL3_whole_roi,HCP360_GM_active_mean,HCP360_whole_brain,tissue_mean_GM_WM_CSF
te_full,0.8373333333333334,0.872,0.7236666666666666,0.8349999999999999
dcor_directed,0.7146666666666667,0.7986666666666666,0.8170000000000001,0.7936666666666667
correlation_directed,0.763,0.7963333333333332,0.7393333333333334,0.7716666666666667
correlation_kendall,0.7476666666666667,0.8083333333333332,0.8320000000000001,0.6563333333333332
te_partial,0.6346666666666666,0.8,0.8503333333333332,0.7493333333333332
correlation_spearman,0.7466666666666667,0.8226666666666667,0.8009999999999999,0.5993333333333333
correlation_full,0.7716666666666666,0.8026666666666668,0.7893333333333333,0.5876666666666667
dcor_full,0.7203333333333332,0.7916666666666665,0.8149999999999998,0.605
ah_partial,0.7399999999999999,0.838,0.7196666666666667,0.616
h2_directed,0.7073333333333331,0.7023333333333334,0.7136666666666666,0.7886666666666667
granger_full,0.693,0.7290000000000001,0.6873333333333332,0.7666666666666666
ah_directed,0.7709999999999999,0.7296666666666666,0.7189999999999999,0.6016666666666667
h2_full,0.754,0.747,0.7026666666666667,0.6153333333333334
ah_full,0.773,0.7156666666666667,0.6789999999999999,0.6016666666666667
wavelet_partial,0.7563333333333334,0.8153333333333331,0.73,0.4603333333333333
mutinf_full,0.6300000000000001,0.7433333333333333,0.69,0.6583333333333334
dcor_partial,0.8326666666666667,0.6803333333333333,0.6333333333333333,0.5696666666666667
h2_partial,0.7166666666666667,0.7146666666666667,0.7653333333333332,0.519
correlation_partial,0.7866666666666667,0.699,0.6990000000000001,0.5056666666666667
wavelet_full,0.7433333333333333,0.693,0.6916666666666668,0.5236666666666667
coherence_full,0.7146666666666667,0.6856666666666666,0.7903333333333333,0.4603333333333333
ordinal_directed,0.5953333333333333,0.6686666666666667,0.5966666666666667,0.718
granger_partial,0.78,0.5486666666666666,0.6196666666666666,0.6256666666666667
ordinal_full,0.695,0.7126666666666667,0.6890000000000001,0.471
mutinf_partial,0.5856666666666667,0.6763333333333335,0.6043333333333334,0.5049999999999999
coherence_partial,0.5276666666666666,0.57,0.545,0.483
