scope,window_label,lag,balanced_accuracy_mean
AAL3_whole_roi,w300_start0,1,0.7553333333333333
AAL3_whole_roi,w300_start0,2,0.754
AAL3_whole_roi,w300_start0,3,0.7013333333333333
AAL3_whole_roi,w300_start150,1,0.8326666666666667
AAL3_whole_roi,w300_start150,2,0.8373333333333334
AAL3_whole_roi,w300_start150,3,0.7973333333333332
HCP360_GM_active_mean,w300_start0,1,0.7993333333333332
HCP360_GM_active_mean,w300_start0,2,0.8026666666666668
HCP360_GM_active_mean,w300_start0,3,0.7733333333333334
HCP360_GM_active_mean,w300_start150,1,0.8153333333333331
HCP360_GM_active_mean,w300_start150,2,0.7986666666666666
HCP360_GM_active_mean,w300_start150,3,0.872
HCP360_whole_brain,w300_start0,1,0.8320000000000001
HCP360_whole_brain,w300_start0,2,0.784
HCP360_whole_brain,w300_start0,3,0.7396666666666667
HCP360_whole_brain,w300_start150,1,0.834
HCP360_whole_brain,w300_start150,2,0.8170000000000001
HCP360_whole_brain,w300_start150,3,0.8503333333333332
tissue_mean_GM_WM_CSF,w300_start0,1,0.7386666666666667
tissue_mean_GM_WM_CSF,w300_start0,2,0.7330000000000001
tissue_mean_GM_WM_CSF,w300_start0,3,0.8349999999999999
tissue_mean_GM_WM_CSF,w300_start150,1,0.7936666666666667
tissue_mean_GM_WM_CSF,w300_start150,2,0.7783333333333333
tissue_mean_GM_WM_CSF,w300_start150,3,0.7666666666666666
